"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2018-01-08",5.48912620544434,81.4790267944336,74.7266845703125,139.800201416016,29.9306125640869,62.3434982299805,1.1973,1.3541,8.8236,12.3946,16.7786,14.8673
"2018-01-09",5.48763942718506,81.4236526489258,74.1808166503906,140.136978149414,29.5712451934814,62.6349983215332,1.1932,1.354,8.8268,12.423,16.8195,14.8312
"2018-01-10",5.53066444396973,81.0544662475586,73.7082595825195,139.665496826172,29.3591575622559,62.7164993286133,1.1992,1.35535,8.8039,12.384,16.737,14.802
"2018-01-11",5.54055500030518,81.2944564819336,73.4475555419922,142.469436645508,29.4622573852539,63.8339996337891,1.2017,1.3462,8.7918,12.4626,16.7965,14.8723
"2018-01-12",5.51335525512695,82.6973495483398,73.0076065063477,143.395614624023,29.7126331329346,65.2600021362305,1.2137,1.3639,8.8441,12.4182,16.8378,14.9925
"2018-01-16",5.44239187240601,81.5436248779297,73.5046005249023,142.561981201172,29.6596183776855,65.2429962158203,1.223,1.3747,8.8704,12.2532,16.8923,15.0065
"2018-01-17",5.55637741088867,83.1957244873047,74.3030090332031,141.880004882812,30.2516918182373,64.75,1.2203,1.3788,8.8994,12.3055,16.9471,15.049
"2018-01-18",5.5494556427002,83.1587905883789,74.0321273803711,142.15788269043,30.7229881286621,64.6660003662109,1.2235,1.3886,8.9088,12.2445,16.9464,14.9542
"2018-01-19",5.68965005874634,83.0665130615234,74.7627410888672,144.154190063477,30.808422088623,64.7289962768555,1.2255,1.38855,8.8594,12.1518,16.9189,14.9127
"2018-01-22",5.77816772460938,84.5524826049805,75.435905456543,144.560256958008,31.0617408752441,66.3655014038086,1.2239,1.39005,8.945,12.0524,16.745,14.757
"2018-01-23",5.90723752975464,84.8201522827148,73.1044464111328,143.325210571289,31.1942863464355,68.1269989013672,1.2249,1.39345,8.9728,12.1146,16.8975,14.8089
"2018-01-24",5.83034133911133,84.7462921142578,72.496955871582,142.40315246582,31.1618843078613,67.8755035400391,1.2352,1.4136,9.0523,11.996,16.8532,14.7803
"2018-01-25",5.84393882751465,85.2170181274414,72.5215759277344,143.274429321289,31.4004859924316,68.8974990844727,1.2407,1.4258,9.0373,11.9288,16.9979,14.797
"2018-01-26",6.01652526855469,86.8137512207031,72.0208206176758,141.320358276367,31.927755355835,70.1025009155273,1.2436,1.4247,8.9623,11.8483,16.8666,14.7683
"2018-01-29",6.10356044769287,86.6845169067383,71.3065872192383,137.530609130859,32.2694396972656,70.8840026855469,1.2379,1.4063,8.9058,11.9336,16.8592,14.8012
"2018-01-30",6.00144386291504,85.5954360961914,71.3804779052734,138.528839111328,31.7333393096924,71.890998840332,1.2421,1.4124,8.9186,12.0271,16.8391,14.8553
"2018-01-31",6.07759809494019,87.6905517578125,70.8796920776367,137.699813842773,31.4004859924316,72.5445022583008,1.2457,1.4161,8.9366,11.8753,16.8469,14.7717
"2018-02-01",5.94655084609985,86.9983291625977,70.4774627685547,137.243026733398,31.0823421478271,69.5,1.2459,1.4219,8.9649,11.874,16.9217,14.7565
"2018-02-02",5.77396488189697,84.7094116210938,69.1639404296875,133.224853515625,30.7760124206543,71.4974975585938,1.2492,1.4223,8.8965,11.9532,17.0232,14.9577
"2018-02-05",5.28390073776245,81.2205963134766,66.5451736450195,127.802490234375,29.4828758239746,69.5,1.244,1.4048,8.8091,12.0416,16.9925,14.993
"2018-02-06",5.57764434814453,84.2940673828125,67.6287994384766,132.311279296875,29.7214756011963,72.1419982910156,1.2329,1.39315,8.7384,12.0987,16.8995,15.0206
"2018-02-07",5.65725994110107,82.7065658569336,67.1854858398438,130.560211181641,30.2958698272705,70.838996887207,1.2338,1.38885,8.6976,11.9469,16.6487,14.7826
"2018-02-08",5.37835311889648,78.4609451293945,65.855583190918,123.49674987793,29.4622573852539,67.5250015258789,1.2252,1.39705,8.8536,12.0852,16.7501,14.7953
"2018-02-09",5.73836135864258,81.3867416381836,65.6093063354492,126.220573425293,29.2707862854004,66.9800033569336,1.2273,1.38265,8.6931,12.0832,16.8561,14.8153
"2018-02-12",5.63822031021118,82.2635498046875,66.7668228149414,128.826034545898,29.3238067626953,69.3115005493164,1.2263,1.38515,8.7342,11.9721,16.5723,14.6909
"2018-02-13",5.75195980072021,82.9096145629883,66.906379699707,130.247177124023,29.7450408935547,70.7255020141602,1.2333,1.3902,8.7978,11.9255,16.5323,14.703
"2018-02-14",5.96929931640625,84.2078323364258,66.2332000732422,133.707000732422,29.9571208953857,72.5524978637695,1.2348,1.3851,8.8566,11.8674,16.4766,14.6746
"2018-02-15",6.09490489959717,85.9233322143555,67.6534194946289,135.331192016602,30.4078063964844,73.0879974365234,1.2493,1.40465,8.9168,11.665,16.3876,14.5795
"2018-02-16",6.02913665771484,85.3113479614258,67.8094024658203,132.209777832031,30.864372253418,72.4345016479492,1.2464,1.4063,8.9067,11.6155,16.4092,14.5554
"2018-02-20",6.15869951248169,85.9789810180664,66.7750244140625,131.592178344727,27.7213840484619,73.4175033569336,1.234,1.39865,8.8845,11.716,16.3509,14.4822
"2018-02-21",5.97152423858643,84.8384017944336,65.8720016479492,131.313034057617,26.9584617614746,74.1460037231445,1.2312,1.3923,8.868,11.7154,16.35,14.4217
"2018-02-22",5.99107074737549,85.0609664916992,66.3645477294922,134.3837890625,27.3266677856445,74.2669982910156,1.2276,1.38795,8.846,11.7177,16.2806,14.3817
"2018-02-23",6.08459186553955,87.221565246582,66.5369491577148,137.386810302734,27.3620128631592,75,1.2299,1.39785,8.8477,11.6382,16.2457,14.3231
"2018-02-26",6.10067272186279,88.482666015625,67.0130996704102,138.469635009766,27.4297657012939,76.0975036621094,1.232,1.4047,8.7989,11.5604,16.2313,14.2435
"2018-02-27",6.08780765533447,87.3513565063477,66.118278503418,136.413986206055,26.9584617614746,75.5989990234375,1.2301,1.3947,8.7691,11.577,16.194,14.2814
"2018-02-28",5.98735857009888,86.9526138305664,64.4599761962891,130.805526733398,26.5136699676514,75.6224975585938,1.2214,1.3842,8.72,11.7735,16.3381,14.3678
"2018-03-01",5.74514484405518,86.0995178222656,64.6077499389648,127.083435058594,26.2397270202637,74.6725006103516,1.2171,1.3745,8.7268,11.8545,16.3184,14.4655
"2018-03-02",5.85227251052856,86.2849884033203,65.264518737793,123.826652526855,26.1484146118164,75.0124969482422,1.2312,1.37905,8.7334,11.8574,16.3282,14.5508
"2018-03-05",5.8302526473999,86.8320770263672,65.9130401611328,127.836326599121,26.5048370361328,76.1804962158203,1.2307,1.3813,8.7922,11.9714,16.508,14.7392
"2018-03-06",5.99131679534912,86.5353546142578,65.6913833618164,130.061080932617,26.2338314056396,76.8820037841797,1.2411,1.38985,8.7592,11.8346,16.3732,14.6081
"2018-03-07",5.98339891433716,87.0360946655273,64.9853973388672,128.166213989258,25.8450088500977,77.25,1.2417,1.38555,8.7857,11.8199,16.4031,14.6679
"2018-03-08",5.96707010269165,87.5646514892578,65.6503448486328,129.925735473633,26.0524368286133,77.5930023193359,1.2421,1.3861,8.7667,11.8974,16.5314,14.7593
"2018-03-09",6.06974649429321,89.5212554931641,65.9130401611328,133.867782592773,26.2894897460938,78.9445037841797,1.2291,1.38255,8.7764,11.9021,16.4451,14.6443
"2018-03-12",6.17934989929199,89.7345199584961,65.5600509643555,130.695556640625,26.0968856811523,79.9195022583008,1.2302,1.3854,8.7933,11.8087,16.3787,14.5584
"2018-03-13",6.12862968444824,87.5461120605469,65.4451065063477,130.010360717773,26.1650390625,79.4089965820312,1.2378,1.3894,8.837,11.837,16.4487,14.5933
"2018-03-14",6.15411472320557,87.0268173217773,64.8540344238281,129.037490844727,25.9783554077148,79.5500030517578,1.2369,1.3976,8.8049,11.7579,16.397,14.5475
"2018-03-15",6.16895961761475,87.3328399658203,64.5831298828125,130.754776000977,25.930944442749,79.1159973144531,1.2341,1.3929,8.8148,11.8138,16.5157,14.6078
"2018-03-16",6.19716262817383,87.722297668457,64.8293991088867,132.353576660156,26.4228324890137,78.5839996337891,1.2301,1.39675,8.8101,11.9285,16.6391,14.6923
"2018-03-19",5.96261739730835,86.1365966796875,64.5749053955078,128.707626342773,25.9131679534912,77.2464981079102,1.2309,1.4046,8.8791,12.0635,16.8045,14.808
"2018-03-20",6.17489767074585,86.3591537475586,64.2875900268555,130.323318481445,26.0613288879395,79.3255004882812,1.2276,1.4008,8.8729,12.0042,16.8678,14.812
