"asset","model","split_type","window_id","train_start","train_end","train_size","test_start","test_end","test_size","loglik","aic","bic","n_params","convergence"
"GBPUSD","eGARCH","tscv",1,1,2934,2934,2935,2954,20,10980.4899263051,-21950.9798526101,-21921.0592428166,5,TRUE
"GBPUSD","eGARCH","tscv",2,678,3611,2934,3612,3631,20,10605.0876967645,-21200.1753935289,-21170.2547837354,5,TRUE
"GBPUSD","eGARCH","tscv",3,1355,4288,2934,4289,4308,20,11009.0409416424,-22008.0818832848,-21978.1612734913,5,TRUE
"GBPUSD","gjrGARCH","tscv",1,1,2934,2934,2935,2954,20,10250.4737284573,-20490.9474569145,-20461.026847121,5,TRUE
"GBPUSD","gjrGARCH","tscv",2,678,3611,2934,3612,3631,20,10174.5889675089,-20339.1779350178,-20309.2573252243,5,TRUE
"GBPUSD","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,10301.7936463696,-20593.5872927391,-20563.6666829456,5,TRUE
"GBPUSD","TGARCH","tscv",1,1,2934,2934,2935,2954,20,10980.2878040474,-21950.5756080947,-21920.6549983012,5,TRUE
"GBPUSD","TGARCH","tscv",2,678,3611,2934,3612,3631,20,10822.9898111742,-21635.9796223485,-21606.0590125549,5,TRUE
"GBPUSD","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,11085.0162366242,-22160.0324732485,-22130.1118634549,5,TRUE
"USDZAR","sGARCH_norm","tscv",1,1,2934,2934,2935,2954,20,8359.6817151687,-16711.3634303374,-16687.4269425026,4,TRUE
"USDZAR","sGARCH_norm","tscv",2,678,3611,2934,3612,3631,20,8325.03015606806,-16642.0603121361,-16618.1238243013,4,TRUE
"USDZAR","sGARCH_norm","tscv",3,1355,4288,2934,4289,4308,20,8334.0928045929,-16660.1856091858,-16636.249121351,4,TRUE
"USDZAR","eGARCH","tscv",1,1,2934,2934,2935,2954,20,9044.27515030991,-18078.5503006198,-18048.6296908263,5,TRUE
"USDZAR","eGARCH","tscv",2,678,3611,2934,3612,3631,20,9216.92129266549,-18423.842585331,-18393.9219755375,5,TRUE
"USDZAR","eGARCH","tscv",3,1355,4288,2934,4289,4308,20,9289.86894699729,-18569.7378939946,-18539.8172842011,5,TRUE
"USDZAR","gjrGARCH","tscv",1,1,2934,2934,2935,2954,20,9205.40351697942,-18400.8070339588,-18370.8864241653,5,TRUE
"USDZAR","gjrGARCH","tscv",2,678,3611,2934,3612,3631,20,9201.93384625454,-18393.8676925091,-18363.9470827156,5,TRUE
"USDZAR","gjrGARCH","tscv",3,1355,4288,2934,4289,4308,20,9328.13768556408,-18646.2753711282,-18616.3547613347,5,TRUE
"USDZAR","TGARCH","tscv",1,1,2934,2934,2935,2954,20,9226.86278773967,-18443.7255754793,-18413.8049656858,5,TRUE
"USDZAR","TGARCH","tscv",2,678,3611,2934,3612,3631,20,9202.89287535807,-18395.7857507161,-18365.8651409226,5,TRUE
"USDZAR","TGARCH","tscv",3,1355,4288,2934,4289,4308,20,9352.53012315304,-18695.0602463061,-18665.1396365126,5,TRUE
